khoảng cách trên,khoảng cách dưới
0,0,07_05_04
0.302,0,07_08_54
0.892,1.05,07_08_55
0,0,07_09_18
0,0,07_09_18
0,0.689,07_09_26
0.605,0.67,07_09_31
0.585,0.889,07_09_33
0.53,0.692,07_09_34
0.555,0.681,07_09_37
0.699,0.727,07_09_40
0.652,0.82,07_09_43
0.721,0.847,07_09_45
0,0,07_09_48
0.705,0,07_09_51
0.631,0,07_09_54
0.54,0.74,07_09_57
0,0,07_10_00
0.716,0.9,07_10_02
0.628,0.732,07_10_03
0.4,0.495,07_10_05
0,0,07_10_06
0.612,0.771,07_11_12
0,0.398,07_11_13
0.839,1.113,07_11_14
0,0,07_11_16
0.544,0,07_11_17
0.527,0.768,07_11_19
0.712,0.732,07_11_20
0.542,0.667,07_11_22
0.548,0.705,07_11_25
0.57,0.88,07_11_28
0.658,0.815,07_11_31
0.693,0.889,07_11_34
0,0,07_11_37
0,0.895,07_11_39
0,0.778,07_11_43
0.574,0.71,07_11_45
0,0,07_11_48
0.729,0.88,07_11_50
0.601,0.771,07_11_51
0.37,0.518,07_11_53
0,0,07_11_54
0.708,0.771,07_27_53
0.658,0.742,07_27_54
0.607,0.703,07_27_56
0.648,0.776,07_27_58
0.644,0.731,07_28_00
0.684,0.679,07_28_01
0.681,0.686,07_28_03
0.727,0,07_28_04
0.629,0.807,07_28_06
0.646,0.65,07_28_07
0.647,0.68,07_32_49
0.727,0.776,07_34_05
0.634,0.715,07_34_07
0.671,0.741,07_34_08
0.657,0.811,07_34_10
0.663,0.776,07_34_11
0.599,0.743,07_35_22
0.623,0.703,07_35_23
0.645,0.747,07_35_25
0.684,0.739,07_35_27
0.687,0.758,07_35_28
0.648,0.781,07_35_30
0.681,0.841,07_35_32
0.64,0.709,07_35_33
0.668,0.737,07_35_47
0.676,0.767,07_35_48
0.709,0,07_35_50
0.693,0.78,07_35_52
0.622,0.72,07_35_53
0.608,0.771,07_35_55
0.632,0.783,07_35_57
0.64,0.756,07_35_58
0.7,0.705,07_36_00
0.658,0.675,07_36_22
0.765,0.79,07_36_24
0.747,0.753,07_36_26
0.724,0.755,07_36_27
0.774,0.781,07_36_29
0.666,0.781,07_36_30
0.607,0.781,07_36_32
0.662,0.68,07_36_34
