0.779,0.872,00_00_05
0.77,0.791,00_00_06
0.804,0.813,00_00_33
0.741,0.844,00_00_34
0.759,0.773,00_00_36
0.806,0.89,00_00_38
0.83,0.799,00_00_39
0.802,0.827,00_00_41
0.756,0.795,00_00_43
0.787,0.87,00_00_45
0.762,0.822,00_00_46
0.839,0.799,00_00_48
0.812,0.763,00_00_50
0.785,0.871,00_00_51
0.75,0.926,00_00_52
0.787,0.897,00_00_54
0.823,0.905,00_00_56
0.75,0.887,00_00_57
0.779,0.807,00_00_59
0.799,0.85,00_01_01
0.748,0.968,00_01_02
0.798,0.851,00_01_03
0.771,0.853,00_01_05
0.742,0.843,00_01_07
0.792,0.798,00_01_09
0.798,0.802,00_01_10
0.726,0.891,00_01_12
0.819,0.832,00_01_14
0.713,0.805,00_01_15
0.824,0.79,00_01_17
0.819,0.786,00_01_18
0.794,0.89,00_01_20
0.792,0.883,00_01_22
0.818,0.839,00_01_24
0.782,0.845,00_01_25
0.781,0.84,00_01_26
0.724,0.811,00_01_29
0.727,0.756,00_01_30
0.724,0.867,00_01_32
0.822,0.787,00_01_34
0.822,0.805,00_01_35
0.89,0.756,00_01_37
0.745,0.809,00_01_39
0.759,0.876,00_01_40
0.701,0.826,00_01_42
0.751,0.824,00_01_44
0.664,0.86,00_01_45
0.749,0.844,00_01_47
0.685,0.824,00_01_48
0.702,0.849,00_01_50
0.798,0.737,00_01_51
0.725,0.849,00_01_53
0.766,0.875,00_01_55
0.75,0.85,00_01_56
0.716,0.854,00_01_58
0.738,0.82,00_02_00
0.792,0.851,00_02_01
0.695,0.837,00_02_03
0.807,0.793,00_02_05
0.783,0.808,00_02_06
0.781,0.917,00_02_08
0.797,0.846,00_02_10
0.766,0.875,00_02_11
0.756,0.923,00_02_13
0.761,0.899,00_02_14
0.688,0.901,00_02_16
0.771,0.843,00_02_17
0.753,0.914,00_02_19
0.811,0.802,00_02_21
0.693,0.853,00_02_22
0.763,0.787,00_02_51
0.81,0.748,00_02_58
0.811,0.812,00_03_00
0.73,0.826,00_03_01
0.796,0.811,00_03_03
0.76,0.858,00_03_04
0.735,0.854,00_03_06
0.724,0.892,00_03_08
0.745,0.842,00_03_11
0.752,0.795,00_03_12
0.669,0.829,00_03_14
0.747,0.812,00_03_15
0.747,0.869,00_03_17
0.744,0.865,00_03_19
0.694,0.852,00_03_21
0.745,0.899,00_03_22
0.737,0.834,00_03_24
0.736,0.86,00_03_25
