0.773,0.84,00_00_00
0.66,0.866,00_00_02
0.762,0.81,00_00_03
0.76,0.812,00_00_05
0.743,0.792,00_00_07
0.732,0.803,00_00_08
0.758,0.781,00_00_10
0.715,0.778,00_00_11
0.791,0.763,00_00_13
0.696,0.811,00_00_15
0.832,0.759,00_00_17
0.725,0.793,00_00_18
0.799,0.846,00_00_20
0.801,0.801,00_00_21
0.748,0.793,00_00_24
0.689,0.904,00_00_26
0.751,0.814,00_00_28
0.71,0.91,00_00_30
0.715,0.775,00_00_31
0.692,0.85,00_00_33
0.779,0.76,00_00_35
0.758,0.766,00_00_36
0.782,0.729,00_00_38
0.727,0.839,00_00_39
0.763,0.885,00_00_41
0.705,0.861,00_01_05
0.811,0.902,00_01_08
0.703,0.916,00_01_09
0.763,0.781,00_01_11
0.759,0.822,00_01_12
0.738,0.856,00_01_14
0.731,0.864,00_01_16
0.758,0.867,00_01_21
0.706,0.91,00_01_22
0.731,0.854,00_01_24
0.709,0.8,00_01_25
0.741,0.831,00_01_27
0.754,0.821,00_01_29
0.772,0.82,00_01_31
0.744,0.799,00_01_32
0.783,0.826,00_01_34
0.719,0.828,00_01_35
0.72,0.873,00_01_37
0.741,0.791,00_01_38
0.766,0.809,00_01_40
0.739,0.833,00_01_42
0.771,0.77,00_01_43
0.683,0.764,00_01_45
0.782,0.697,00_01_47
0.702,0.772,00_01_48
0.795,0.777,00_01_50
0.723,0.723,00_01_52
0.792,0.762,00_01_53
0.739,0.799,00_01_55
0.71,0.81,00_01_56
0.71,0.75,00_01_58
0.768,0.788,00_02_00
0.732,0.742,00_02_01
0.745,0.82,00_02_03
0.712,0.782,00_02_04
0.808,0.712,00_02_06
0.696,0.853,00_02_08
0.765,0.847,00_02_23
0.686,0.879,00_02_25
0.808,0.816,00_02_27
0.704,0.812,00_02_28
0.751,0.865,00_02_30
0.718,0.877,00_02_31
0.814,0.712,00_02_33
0.722,0.818,00_02_35
0.766,0.796,00_02_36
0.778,0.755,00_02_38
