khoảng cách trên,khoảng cách dưới
0.645,0.688,07_02_16
0,0.408,07_02_17
0.833,1.123,07_02_19
0,0,07_02_20
0.535,0,07_02_22
0.612,0.674,07_02_23
0.719,0.728,07_02_25
0.53,0.697,07_02_26
0.547,0.706,07_02_29
0.58,0.874,07_02_32
0.658,0.819,07_02_35
0.69,0.891,07_02_38
0,0,07_02_41
0,0.902,07_02_44
0,0.787,07_02_46
0.575,0.711,07_02_50
0,0,07_02_52
0.734,0.88,07_02_54
0.602,0.777,07_02_55
0.373,0.525,07_02_57
0,0,07_02_58
0.632,0.71,07_16_30
0.61,0.69,07_16_32
0.585,0.643,07_16_33
0.602,0.752,07_16_34
0.559,0,07_16_36
0.625,0.728,07_16_37
0.606,0.761,07_17_06
0.629,0,07_18_26
0.592,0.734,07_19_02
0.623,0,07_19_04
0.619,0.743,07_19_05
0.585,0.723,07_19_07
0.643,0.799,07_19_08
0.623,0.712,07_19_10
0.564,0.763,07_19_12
0.632,0.729,07_19_13
0.694,0.81,07_19_15
0.657,0.754,07_19_16
0.678,0.751,07_19_18
0.626,0.792,07_19_19
0.673,0.743,07_19_21
0.538,0.733,07_19_23
0.616,0.736,07_19_24
0.621,0.741,07_19_26
0.63,0.841,07_19_28
0.61,0.736,07_19_29
0.625,0.773,07_19_30
0.687,0.756,07_19_33
0.605,0.752,07_19_34
0.573,0.741,07_19_36
0.661,0.871,07_19_37
0.618,0.788,07_19_39
0.647,0.739,07_19_40
0.692,0.823,07_19_42
0.607,0.794,07_19_43
0.622,0.802,07_19_45
0.752,0.849,07_19_47
0.679,0.768,07_19_48
0.657,0.839,07_19_50
0.627,0.754,07_19_52
0.601,0.793,07_19_53
0.559,0.722,07_19_55
0.608,0.779,07_19_57
0.608,0.734,07_19_58
0.635,0.875,07_20_00
0.633,0.761,07_20_02
0.549,0.824,07_20_03
0.52,0.75,07_20_10
0.689,0.76,07_20_12
0.669,0.752,07_20_14
0.625,0.728,07_20_15
0.571,0.771,07_20_17
0.653,0.691,07_20_18
