0.668,0.9,00_00_01
0.706,0.866,00_00_03
0.672,0.882,00_00_05
0.654,0.965,00_00_06
0.706,0.83,00_00_08
0.709,0.989,00_00_10
0.706,0.938,00_00_11
0.665,0.906,00_00_13
0.735,0.927,00_00_15
0.665,0.843,00_00_16
0.655,0.907,00_00_18
0.689,0.884,00_00_19
0.762,0.887,00_00_21
0.619,0.876,00_00_23
0.663,0.835,00_00_24
0.734,0.858,00_00_26
0.755,0.857,00_00_27
0.683,0.908,00_00_29
0.679,0.844,00_00_31
0.711,0.892,00_00_32
0.708,0.922,00_00_34
0.717,0.892,00_00_36
0.697,0.943,00_00_37
0.706,0.931,00_01_26
0.696,0.886,00_01_28
0.689,0.861,00_01_29
0.687,0.964,00_01_31
0.672,0.889,00_01_32
0.682,0.987,00_01_34
0.752,0.837,00_01_36
0.667,0.933,00_01_37
0.73,0.919,00_01_39
0.672,0.844,00_01_41
0.655,0.945,00_01_42
0.703,0.941,00_01_44
0.705,0.908,00_01_45
0.75,0.851,00_01_47
0.701,0.927,00_01_49
0.654,0.936,00_01_50
0.745,0.903,00_01_52
0.705,0.88,00_01_53
0.638,0.893,00_01_55
0.677,0.859,00_01_57
0.72,0.842,00_01_58
0.723,0.858,00_02_00
0.689,0.923,00_02_01
0.654,0.917,00_02_03
0.737,0.909,00_02_04
0.74,0.893,00_02_06
0.663,0.889,00_02_08
0.744,0.912,00_02_09
0.701,0.899,00_02_11
0.823,0.929,00_02_13
0.712,0.866,00_02_14
0.695,0.909,00_02_16
0.713,0.834,00_02_18
0.77,0.876,00_02_19
0.712,0.908,00_02_21
0.72,0.866,00_02_22
0.664,0.826,00_02_24
0.648,0.862,00_02_26
0.769,0.912,00_02_27
0.75,0.893,00_02_29
0.724,0.799,00_02_31
0.758,0.91,00_02_32
0.695,0.784,00_02_34
0.721,0.906,00_02_35
0.659,0.937,00_02_37
0.719,0.859,00_02_39
0.702,0.823,00_02_40
0.698,0.882,00_02_42
0.675,0.904,00_02_43
0.712,0.931,00_02_45
0.712,0.902,00_02_46
0.692,0.909,00_02_48
0.751,0.866,00_02_50
0.741,0.803,00_02_51
0.734,0.813,00_03_07
0.663,0.884,00_03_09
0.659,0.863,00_03_10
0.68,0.818,00_03_12
0.658,0.927,00_03_14
0.699,0.952,00_03_15
0.772,0.872,00_03_17
0.747,0.905,00_03_18
0.676,0.938,00_03_20
0.707,0.88,00_03_22
0.783,0.897,00_03_23
0.731,0.865,00_03_25
0.73,0.867,00_03_26
0.758,0.885,00_03_28
0.687,0.867,00_03_30
0.701,0.837,00_03_31
0.758,0.91,00_03_33
0.732,0.86,00_03_34
0.676,0.829,00_03_36
0.667,0.975,00_03_38
0.774,0.865,00_03_39
0.795,0.861,00_03_41
0.727,0.9,00_03_43
0.73,0.784,00_03_44
0.721,0.807,00_03_46
0.767,0.846,00_03_48
0.68,0.86,00_03_49
0.68,0.859,00_03_51
0.745,0.871,00_03_52
0.77,0.938,00_03_54
0.728,0.852,00_03_56
0.77,0.894,00_03_57
0.723,0.85,00_03_59
