khoảng cách trên,khoảng cách dưới
0.683,0,07_04_46
0.485,0.375,07_04_55
0,0.955,07_04_57
0,0,07_05_05
0.51,0,07_05_06
0.527,0.826,07_05_08
0.739,0.75,07_05_24
0.741,0.752,07_05_24
0.519,0.737,07_05_25
0.555,0.667,07_05_28
0.705,0.79,07_05_31
0.664,0.822,07_05_34
0.731,0.894,07_05_37
0,0,07_05_40
0,0.856,07_05_43
0.632,0,07_05_45
0.558,0.75,07_06_13
0,0,07_06_15
0.734,0.899,07_06_17
0.551,0,07_06_19
0.41,0.503,07_06_21
0.656,0.787,07_06_22
0.716,0.776,07_09_56
0.275,0.628,07_09_58
0.732,0,07_09_59
0,0,07_10_00
0,0.674,07_10_01
0.652,0.681,07_12_11
0.612,0.913,07_12_12
0.588,0.664,07_12_14
0.498,0.718,07_12_17
0.612,0.903,07_12_20
0.648,0.837,07_12_23
0.708,0.91,07_12_26
0,0,07_12_29
0.694,0,07_12_32
0,0.791,07_12_35
0.578,0.736,07_15_04
0,0,07_15_08
0.717,0.919,07_15_09
0,0,07_15_11
0.388,0.527,07_15_12
0,0,07_15_14
0.688,0.775,07_18_20
0.479,0.382,07_18_21
0,0.952,07_18_23
0,0,07_18_24
0.511,0,07_18_25
0.527,0.827,07_18_27
0.747,0.745,07_18_31
0.521,0.738,07_18_33
0.556,0.666,07_18_36
0.707,0.787,07_18_39
0.664,0.82,07_18_41
0.731,0.895,07_18_45
0,0,07_18_48
0,0.857,07_18_51
0.625,0,07_18_54
0.557,0.749,07_19_01
0,0,07_19_04
0.738,0.896,07_19_06
0,0,07_19_07
0.41,0.499,07_19_09
0,0,07_19_10
0.617,0.856,07_19_43
0.277,0.628,07_19_45
0.735,0,07_19_46
0,0,07_19_47
0,0.673,07_19_49
0.65,0.677,07_19_51
0.606,0.92,07_19_52
0.586,0.664,07_19_53
0.511,0.703,07_19_57
0.609,0.905,07_19_59
0.645,0.842,07_20_03
0.71,0.906,07_20_05
0,0,07_20_09
0.694,0,07_20_11
0,0.791,07_20_15
0.578,0.737,07_20_30
0,0,07_20_33
0.716,0.921,07_20_35
0,0,07_20_36
0.388,0.52,07_20_38
0,0,07_20_39
0.727,0.942,07_31_08
0.727,0.787,07_31_10
0.738,0.903,07_31_11
0.709,0.837,07_31_15
0.683,0.827,07_31_16
0.705,0.86,07_31_18
0.689,0.854,07_31_19
0.769,0.892,07_31_38
0.754,0.865,07_31_40
0.692,0.966,07_31_41
0.705,0.882,07_31_43
0.696,0.873,07_31_46
0.702,0.972,07_31_48
0.735,0.831,07_31_50
0.724,0.896,07_31_52
0.642,0.845,07_31_58
0.703,0.896,07_32_00
0.741,0.785,07_32_01
0.764,0.774,07_32_02
0.687,0.868,07_32_05
0.756,0.867,07_32_07
0.707,0.95,07_32_09
0.728,0.89,07_32_10
0.669,0.878,07_32_13
0.715,0.852,07_32_15
0.698,0.908,07_32_17
0.735,0.895,07_32_18
0.704,0.865,07_32_22
0.701,0.956,07_32_23
0.737,0.852,07_32_25
0.636,0.888,07_32_26
0.761,0.873,07_32_29
0.703,0.836,07_32_30
0.796,0.806,07_32_32
0.704,0.853,07_32_33
0.7,0.897,07_32_44
0.652,0.898,07_32_46
0.706,0.977,07_32_47
0.72,0.847,07_32_48
0.728,0.849,07_32_54
0.731,0.878,07_32_55
0.71,0.845,07_32_57
0.731,0.925,07_32_59
0.74,0.865,07_33_04
0.727,0.836,07_33_06
0.706,0.886,07_33_08
0.69,0.951,07_33_10
0.667,0.863,07_33_12
0.738,0.852,07_33_14
0.725,0.936,07_33_16
0.687,0.874,07_33_17
0,0,07_33_20
0.771,0.857,07_33_22
0.742,0.863,07_33_23
0.701,0.934,07_33_25
0.782,0.854,07_33_31
0.733,0.9,07_33_32
0.721,0.857,07_33_34
0.751,0.862,07_33_35
0.77,0.781,07_33_49
0.742,0.83,07_33_51
0.669,0.887,07_33_52
0.738,0.866,07_33_54
0.686,0.856,07_34_05
0.717,1.007,07_34_06
0.704,0.873,07_34_08
0.698,0.886,07_34_09
0.712,0.83,07_34_16
0.733,0.921,07_34_18
0.75,0.84,07_34_19
0.725,0.854,07_34_21
0.781,0.851,07_34_27
0.723,0.881,07_34_28
0.725,0.973,07_34_30
0.708,0.924,07_34_31
0.734,0.867,07_34_33
0.652,0.901,07_34_35
0.759,0.841,07_34_36
0.685,0.909,07_34_38
0.714,0.824,07_34_41
0.69,0.846,07_34_43
0.679,0.945,07_34_44
0.673,0.862,07_34_46
0.677,0.866,07_34_57
0.699,0.882,07_34_58
0.675,0.941,07_34_59
0.755,0.824,07_35_01
0.72,0.906,07_35_10
0.698,0.843,07_35_12
0.696,0.899,07_35_13
0.692,0.932,07_35_15
0,0,07_35_16
0.697,0.87,07_35_18
0.66,0.935,07_35_20
0.665,0.886,07_35_21
0.641,0.867,07_35_27
0.725,0.918,07_35_29
0.708,0.879,07_35_31
0.68,0.82,07_35_32
0.701,0.851,07_35_34
0.694,0.837,07_35_35
0.789,0.77,07_35_37
0.644,0.906,07_35_38
0.72,0.912,07_35_53
0.694,0.934,07_35_55
0.733,0.857,07_35_57
0.727,0.878,07_35_59
0.773,0.876,07_36_01
0.71,0.859,07_36_02
0.72,0.868,07_36_04
0.687,0.9,07_36_05
0.681,0.866,07_36_10
0.727,0.831,07_36_11
0.78,0.782,07_36_12
0.758,0.771,07_36_14
0.689,0.936,07_36_17
0.706,0.921,07_36_19
0.656,0.929,07_36_20
0.667,0.936,07_36_22
0.688,0.876,07_36_25
0.696,0.855,07_36_27
0.698,0.928,07_36_29
0.676,0.852,07_36_31
0.712,0.911,07_36_33
0.649,0.91,07_36_34
0.671,0.905,07_36_36
0.711,0.87,07_36_37
0.648,0.91,07_37_06
0.693,0.83,07_37_08
0.703,0.883,07_37_10
0.72,0.893,07_37_11
0.713,0.891,07_38_19
0.699,0.934,07_38_21
0.691,0.893,07_38_23
0.714,0.855,07_38_24
0.68,0.899,07_38_27
0.696,0.881,07_38_29
0.673,0.967,07_38_31
0.711,0.873,07_38_32
0.743,0.915,07_38_56
0.705,0.873,07_38_57
0.636,0.947,07_38_59
0.686,0.82,07_39_00
0.746,0.844,07_39_20
0.694,0.913,07_39_21
0.679,0.875,07_39_23
0.76,0.854,07_39_24
0.691,0.882,07_39_27
0,0.773,07_39_29
0,0.875,07_39_31
0.72,0.897,07_39_32
0.735,0.872,07_39_35
0.721,0.834,07_39_38
0.744,0.856,07_39_39
0.755,0.834,07_39_41
0.701,0.87,07_39_43
0.748,0.848,07_39_46
0.738,0.858,07_39_47
0.693,0.846,07_39_48
0.68,0.921,07_39_50
0.733,0.816,07_39_51
0.658,0.877,07_39_54
0.754,0.834,07_39_55
0.742,0.873,07_39_58
0.687,0.939,07_40_00
0.707,0.901,07_40_01
0.676,0.966,07_40_02
0.705,0.826,07_40_36
0.664,0.871,07_40_37
0.756,0.831,07_40_39
0.748,0.894,07_40_41
0.666,0.803,07_40_43
0.634,0.73,07_40_44
0.622,0.819,07_40_46
0.607,0.78,07_40_47
0.642,0.796,07_40_49
0.646,0.822,07_40_50
0.662,0.806,07_40_52
0.633,0.77,07_40_53
0.557,0.721,07_40_55
0.63,0.752,07_40_57
0.623,0.75,07_40_59
0.661,0.742,07_41_00
0.68,0.852,07_41_02
0.755,0.863,07_41_04
0.704,0.837,07_41_06
0.75,0.877,07_41_08
0.632,0.838,07_41_09
0.621,0.819,07_41_11
0.62,0.866,07_41_13
0.605,0.772,07_41_14
0.688,0.813,07_41_16
0.649,0.784,07_41_18
0.608,0.821,07_41_20
0.654,0.761,07_41_22
0.617,0.867,07_41_24
0.56,0.89,07_41_25
0.706,0.736,07_41_27
0.636,0.765,07_41_29
0.655,0.798,07_41_30
0.615,0.817,07_41_32
0.668,0.801,07_41_34
0.618,0.833,07_41_35
0.597,0.88,07_41_37
0.641,0.859,07_41_39
0.588,0.862,07_41_41
0.613,0.858,07_41_43
0.631,0.819,07_41_44
0.655,0.792,07_41_46
0.615,0.857,07_41_48
0.614,0.854,07_41_50
0.625,0.79,07_41_52
0.59,0.896,07_41_53
0.617,0.758,07_41_55
0.635,0.765,07_41_57
0.658,0.765,07_41_58
0.644,0.772,07_42_00
0.666,0.753,07_42_02
0.565,0.798,07_42_04
0.656,0.839,07_42_05
0.725,0.863,07_42_07
0.671,0.894,07_42_09
0.775,0.823,07_42_11
0.676,0.781,07_42_13
0.675,0.782,07_42_15
0.705,0.784,07_42_17
0.65,0.73,07_42_18
0.672,0.753,07_42_20
0.69,0.784,07_42_22
0.69,0.826,07_42_23
0.654,0.805,07_42_25
0.662,0.738,07_42_27
0.603,0.801,07_42_29
0.64,0.806,07_42_30
0.686,0.758,07_42_32
0.647,0.809,07_42_34
0.666,0.78,07_42_35
0.616,0.77,07_42_37
0.615,0.826,07_42_39
0.714,0.784,07_42_41
0.641,0.746,07_42_43
0.625,0.78,07_42_44
0.636,0.787,07_42_46
0.615,0.814,07_42_48
0.653,0.777,07_42_49
0.644,0.779,07_42_51
0.678,0.749,07_42_53
0.644,0.77,07_42_54
0.634,0.794,07_42_55
0.57,0.828,07_42_57
0.679,0.813,07_42_58
0.635,0.765,07_43_00
0.661,0.8,07_43_02
0.655,0.802,07_43_04
0.596,0.832,07_43_06
0.582,0.826,07_43_07
0.612,0.777,07_43_09
0.598,0.827,07_43_11
0.655,0.733,07_43_13
0.66,0.748,07_43_14
0.656,0.83,07_43_16
0.643,0.796,07_43_18
0.646,0.838,07_43_20
0.692,0.825,07_43_21
0.657,0.751,07_43_23
0.569,0.798,07_43_32
0.618,0.804,07_44_16
0.587,0.726,07_44_18
0.61,0.777,07_44_20
0.686,0.763,07_44_22
0.667,0.777,07_44_24
0.681,0.762,07_44_25
0.604,0.815,07_44_27
0.576,0.812,07_44_29
0.672,0.758,07_44_31
0.61,0.818,07_44_32
0.689,0.705,07_44_34
0.694,0.77,07_44_36
0.643,0.812,07_44_38
0.594,0.759,07_44_40
0.616,0.807,07_44_41
0.653,0.809,07_44_43
0.707,0.75,07_44_45
0.591,0.779,07_44_46
0.634,0.774,07_44_48
0.643,0.855,07_44_50
0.633,0.817,07_44_51
0.632,0.836,07_44_53
0.695,0.756,07_44_55
0.675,0.776,07_44_57
0.647,0.82,07_44_59
0.658,0.807,07_45_00
0.707,0.836,07_45_02
0.603,0.861,07_45_04
0.62,0.887,07_45_06
0.644,0.768,07_45_08
0.625,0.83,07_45_09
0.716,0.841,07_45_11
0.674,0.767,07_45_13
0.624,0.745,07_45_14
0.716,0.819,07_45_16
0.697,0.789,07_45_18
0.653,0.765,07_45_20
0.627,0.875,07_45_21
0.695,0.783,07_45_23
0.582,0.788,07_45_25
0.706,0.933,07_45_27
0.684,0.881,07_45_28
0.599,0.94,07_45_30
0.675,0.873,07_45_32
0.763,0.882,07_45_34
0.688,0.916,07_45_36
0.71,0.874,07_45_37
0.724,0.897,07_45_39
0.708,0.878,07_45_41
0.704,0.917,07_45_47
0.69,0.87,07_45_49
0.709,0.904,07_45_50
0.726,0.893,07_46_41
0.71,0.857,07_46_42
0.719,0.963,07_46_44
0.69,0.926,07_46_46
0.688,0.902,07_46_48
0.739,0.887,07_46_49
0.695,0.889,07_46_51
0.754,0.831,07_46_53
0.703,0.917,07_46_55
0.703,0.853,07_46_56
0.659,0.898,07_46_58
0.693,0.91,07_46_59
0.702,0.894,07_47_01
0.717,0.933,07_47_03
0.698,0.925,07_47_05
0.737,0.839,07_47_06
0.72,0.854,07_47_08
0.686,0.936,07_47_10
0.729,0.862,07_47_12
0.664,0.882,07_47_14
0.666,0.891,07_47_15
0.648,0.896,07_47_17
0.719,0.891,07_47_19
0.691,0.874,07_47_21
